"fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc","prepaid","default"
765,201703,"N",204702,"47894",0,1,"P",80,44,472000,80,4.625,"C","N","FRM","DC","CO","20000","F117Q1016755","P",360,1,"BRANCHBANKING&TRUSTC","BRANCHBANKINGANDTRUS","Y",1,0
739,201703,"9",203202,"22744",0,1,"P",59,43,131000,59,3.375,"R","N","FRM","FL","CO","33300","F117Q1016922","C",180,1,"CALIBERHOMELOANS,INC","CALIBERHOMELOANS,INC","",1,0
792,201703,"N",204702,"35380",0,1,"P",80,42,159000,80,4.125,"B","N","FRM","LA","SF","70000","F117Q1017429","P",360,2,"CALIBERHOMELOANS,INC","CALIBERHOMELOANS,INC","",1,0
754,201703,"9",204702,"26420",0,1,"S",55,33,220000,55,4.375,"R","N","FRM","TX","PU","77300","F117Q1017528","P",360,1,"Other sellers","Other servicers","",1,0
762,201703,"9",204702,"41740",0,1,"P",72,36,580000,72,4.25,"C","N","FRM","CA","SF","92000","F117Q1017564","C",360,1,"AMERIHOMEMTGECOMPANY","AMERIHOMEMTGECOMPANY","Y",1,0
747,201703,"N",204702,"47580",0,1,"P",63,24,170000,63,4,"R","N","FRM","GA","SF","31000","F117Q1017578","P",360,2,"Other sellers","Other servicers","",1,0
706,201703,"N",204702,"22220",30,1,"P",95,49,83000,95,4.375,"R","N","FRM","AR","SF","72700","F117Q1017638","P",360,2,"Other sellers","ROUNDPOINTMTGESERVIC","",1,0
770,201702,"N",204701,"",0,1,"P",42,39,250000,42,4.125,"C","N","FRM","GA","PU","30600","F117Q1017797","P",360,2,"Other sellers","Other servicers","",1,0
693,201703,"9",204702,"36084",0,1,"P",70,15,626000,70,4.25,"R","N","FRM","CA","PU","94500","F117Q1017824","N",360,2,"LOANDEPOTCOM,LLC","Other servicers","Y",1,0
781,201703,"9",203202,"42700",0,1,"P",80,39,186000,80,3,"R","N","FRM","FL","SF","33800","F117Q1018113","C",180,2,"LOANDEPOTCOM,LLC","PNCBANK,NATL","",1,0
725,201703,"N",204702,"11700",25,1,"P",90,41,314000,90,4.375,"C","N","FRM","NC","SF","28700","F117Q1018155","P",360,2,"AMERIHOMEMTGECOMPANY","AMERIHOMEMTGECOMPANY","",1,0
757,201703,"9",204702,"37100",0,1,"P",72,45,356000,72,4.25,"R","N","FRM","CA","SF","93000","F117Q1018207","C",360,2,"LOANDEPOTCOM,LLC","Other servicers","",1,0
